Model number,type,Status,EAN,Description,Aesthetic,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Finish,Dimensions,Installation,Motor,Max Airflow,Noise rating,Illumination,Speeds,Delay stop,Supplied Accessories,Optional Accessories,Ducting Options,Power,Warranty
KT90BA,VictoriaRangehood,Active,8017709217099,90cm Wallmount Canopy Rangehood,Victoria,Matching Victoria Aesthetic ,High Air Extraction,Low Noise Rating,,,White enamel,"900mmW x 480mmD x 900-1150mmH, (depth excludes rail)",wallmount,1 x 275W,788mł/hr (IEC 61591),41–56 dBA (IEC 60704-3),2 x 2W LED,Four,n/a,3 x aluminium grease filters,charcoal filter part #FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
KT90BLA,VictoriaRangehood,Active,8017709217105,90cm Wallmount Canopy Rangehood,Victoria,Matching Victoria Aesthetic ,High Air Extraction,Low Noise Rating,,,Black enamel,"900mmW x 480mmD x 900-1150mmH, (depth excludes rail)",wallmount,1 x 275W,788mł/hr (IEC 61591),41–56 dBA (IEC 60704-3),2 x 2W LED,Four,n/a,3 x aluminium grease filters,charcoal filter part #FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
KT90PA,VictoriaRangehood,Active,8017709217112,90cm Wallmount Canopy Rangehood,Victoria,Matching Victoria Aesthetic ,High Air Extraction,Low Noise Rating,,,Panna (cream) enamel,"900mmW x 480mmD x 900-1150mmH, (depth excludes rail)",wallmount,1 x 275W,788mł/hr (IEC 61591),41–56 dBA (IEC 60704-3),2 x 2W LED,Four,n/a,3 x aluminium grease filters,charcoal filter part #FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
KT110ABL,VictoriaRangehood,,,110cm Wallmount Canopy Rangehood,Victoria,Matching Victoria Aesthetic ,High Air Extraction,Low Noise Rating,,,Black enamel,1100mmW x 476mmD x 900-1150mmH,wallmount,1 x 210W,760mł/hr max airflow (IEC 61591),41–56 dBA maximum,2 x 20W halogen,Three,n/a,3 x stainless steel grease filters (dishwasher safe),charcoal filter #FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
KT110AP,VictoriaRangehood,,,110cm Wallmount Canopy Rangehood,Victoria,Matching Victoria Aesthetic ,High Air Extraction,Low Noise Rating,,,Panna (cream) enamel,1100mmW x 476mmD x 900-1150mmH,wallmount,1 x 210W,760mł/hr max airflow (IEC 61591),41–56 dBA maximum,2 x 20W halogen,Three,n/a,3 x stainless steel grease filters (dishwasher safe),charcoal filter # FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
KSE110ABL,VictoriaRangehood,Active,8017709183138,110cm Wallmount T-shape Rangehood,Victoria,Black Enamelled ,High Air Extraction,Low Noise Rating,,,Black enamel,1100mmW x 500mmD x 755-1100mmH,wallmount,1 x 215W,665mł/hr max airflow (IEC 61591),44–68 dBA,2 x 20W halogen,Four,10 minute timer,3 x stainless steel grease filters (dishwasher safe),Charcoal filter # FLT4,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
KSE110AP9,VictoriaRangehood,Active,8017709183820,110cm Wallmount T-shape Rangehood,Victoria,Panna Enamelled ,High Air Extraction,Low Noise Rating,,,Panna (cream) enamel,1100mmW x 500mmD x 755-1100mmH,wallmount,1 x 215W,665mł/hr max airflow (IEC 61591),44–68 dBA,2 x 20W halogen,Four,10 minute timer,3 x stainless steel grease filters (dishwasher safe),Charcoal filter # FLT4,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
KSE110AX,VictoriaRangehood,Active,8017709183837,110cm Wallmount T-shape Rangehood,Victoria,Stainless Steel,High Air Extraction,Low Noise Rating,,,Stainless Steel,1100mmW x 500mmD x 755-1100mmH,wallmount,1 x 215W,665mł/hr max airflow (IEC 61591),44–68 dBA,2 x 20W halogen,Four,10 minute timer,3 x stainless steel grease filters (dishwasher safe),Charcoal filter # FLT4,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 10A (3-pin plug)",two years parts and labour
KT110BLA,VictoriaRangehood,Active,8017709217129,110cm Wallmount Canopy Rangehood,Victoria,Matching Victoria Aesthetic ,High Air Extraction,Low Noise Rating,,,Black enamel,1100mmW x 476mmD x 900-1150mmH,wallmount,1 x 275W,788mł/hr max airflow (IEC 61591),50-70 dBA maximum,2 x 2W LED,Four,n/a,4 x stainless steel grease filters (dishwasher safe),charcoal filter #FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 279W, 10A (3-pin plug)",two years parts and labour
KT110PA,VictoriaRangehood,Active,8017709217129,110cm Wallmount Canopy Rangehood,Victoria,Matching Victoria Aesthetic ,High Air Extraction,Low Noise Rating,,,Panna (cream) enamel,1100mmW x 476mmD x 900-1150mmH,wallmount,1 x 275W,788mł/hr max airflow (IEC 61591),50-70 dBA maximum,2 x 2W LED,Four,n/a,4 x stainless steel grease filters (dishwasher safe),charcoal filter #FLT6,"duct to atmosphere / recirculate
— 150mm diameter ducting required","220–240V, 50Hz, 279W, 10A (3-pin plug)",two years parts and labour