Model number,Type,Status,EAN,Description,Aesthetic,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Dimensions,Finish,Total functions,Auto menus,device Display,Capacity,Cooking levels,Thermostat,Installation,Programmability,Cleaning,Lighting,Supplied accessories,Optional accessories,Safety,Power,Warranty,Notes,Function list
SFPA7130,LinearOven,Active,8017709215200,70cm Linear Thermoseal Pyrolytic oven,Linear,Thermoseal technology,SmartSense Plus - 50 auto menus + 10 personal menus,Pyrolytic Cleaning,Ever Clean Enamel,,698mmW x 597mmH x 566mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"17 functions incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus,TFT,90L,3,30 - 280ºC,Built-in,Fully programmable,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x Partial telescopic guides,2 x Total telescopic guides","PRTX - Pizza Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish","Cool Door technology, thermal protection system, child safety
lock, controls lock","220–240V, 50/60Hz, 3100W, 16A Connection",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Fan Forced Grill,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFPA7130B,LinearOven,Active,8017709215200,70cm White Linear Thermoseal Pyrolytic oven,Linear,Thermoseal technology,SmartSense Plus - 50 auto menus + 10 personal menus,Pyrolytic Cleaning,Ever Clean Enamel,,698mmW x 597mmH x 566mmD,Fingerprint proof stainless steel White Stopsol® reflective glass,"17 functions incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus,TFT,90L,3,30 - 280ºC,Built-in,Fully programmable,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x Partial telescopic guides,2 x Total telescopic guides","PRTX - Pizza Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish","Cool Door technology, thermal protection system, child safety
lock, controls lock","220–240V, 50/60Hz, 3100W, 16A Connection",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Fan Forced Grill,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFPA7130N,LinearOven,Active,8017709215200,70cm Black Linear Thermoseal Pyrolytic oven,Linear,Thermoseal technology,SmartSense Plus - 50 auto menus + 10 personal menus,Pyrolytic Cleaning,Ever Clean Enamel,,698mmW x 597mmH x 566mmD,Fingerprint proof stainless steel Black Stopsol® reflective glass,"17 functions incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus,TFT,90L,3,30 - 280ºC,Built-in,Fully programmable,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x Partial telescopic guides,2 x Total telescopic guides","PRTX - Pizza Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish","Cool Door technology, thermal protection system, child safety
lock, controls lock","220–240V, 50/60Hz, 3100W, 16A Connection",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Fan Forced Grill,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFA7125,LinearOven,Active,8017709215187,70cm Linear Thermoseal oven,Linear,Thermoseal technology,SmartSense - 20 auto menus,Vapour Clean,Ever Clean Enamel,,698mmW x 597mmH x 566mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"15 functions incl. Sabbath mode, defrost, proving and keep warm",20 SmartSense auto menus,Large LCD,90L,4,30 - 280ºC,Built-in,Fully programmable,Vapour Clean,2 x 25W incandescent,"1 x Chrome grill insert,2 x Chrome shelves,3 x 20mm enamelled baking tray","PRTX - Pizza Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-1 - Partial telescopic guides,GT1T-1 - Total telescopic guides","Cool Door technology, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3200W,16A Connection",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Vapour Clean,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFPA6140,LinearOven,Active,8017709207908,60cm Linear Thermoseal Pyrolytic oven,Linear,Touch control,Thermoseal technology,SmartSense Plus - 50 auto menus + 10 personal programs,Pyrolytic Cleaning,Ever Clean Enamel,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"17 functions incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus + 10 personal programs,Colour Touch TFT,79L,5,30 - 280ºC,Built-in,Fully programmable,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x 40mm enamelled baking tray,2 x Total telescopic guides","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Cool Door technology,thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3000W, 15A Connection",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Fan Forced Grill,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFPA6140B,LinearOven,Active,8017709207908,60cm White Linear Thermoseal Pyrolytic oven,Linear,Touch Screen,Thermoseal technology,SmartSense Plus - 50 auto menus + 10 personal programs,Pyrolytic Cleaning,Ever Clean Enamel,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel White Stopsol® reflective glass,"17 functions incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus + 10 personal programs,Colour Touch TFT,79L,5,30 - 280ºC,Built-in,Fully programmable,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x 40mm enamelled baking tray,2 x Total telescopic guides","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Cool Door technology,thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3000W, 15A Connection",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Fan Forced Grill,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFPA6140N,LinearOven,Active,8017709207908,60cm Black Linear Thermoseal Pyrolytic oven,Linear,Touch Screen,Thermoseal technology,SmartSense Plus - 50 auto menus + 10 personal programs,Pyrolytic Cleaning,Ever Clean Enamel,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel Black Stopsol® reflective glass,"17 functions incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus + 10 personal programs,Colour Touch TFT,79L,5,30 - 280ºC,Built-in,Fully programmable,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x 40mm enamelled baking tray,2 x Total telescopic guides","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Cool Door technology,thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3000W, 15A Connection",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Fan Forced Grill,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFPA6130,LinearOven,Active,8017709207878,60cm Linear Thermoseal Pyrolytic oven,Linear,Thermoseal technology,SmartSense Plus - 50 auto menus + 10 personal programs,Pyrolytic Cleaning,Ever Clean Enamel,Soft Close Door,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"17 functions incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus + 10 personal programs,TFT,79L,5,30 - 280ºC,Built-in,Fully programmable,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x 40mm enamelled baking tray,1 x Total telescopic guides","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Cool Door technology,thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3000W, 15A Connection",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Fan Forced Grill,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFPA6130B,LinearOven,Active,8017709207878,60cm Linear Thermoseal Pyrolytic oven,Linear,Thermoseal technology,SmartSense Plus - 50 auto menus + 10 personal programs,Pyrolytic Cleaning,Ever Clean Enamel,Soft Close Door,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel White Stopsol® reflective glass,"17 functions incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus + 10 personal programs,TFT,79L,5,30 - 280ºC,Built-in,Fully programmable,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x 40mm enamelled baking tray,1 x Total telescopic guides","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Cool Door technology,thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3000W, 15A Connection",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Fan Forced Grill,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFPA6130N,LinearOven,Active,8017709207878,60cm Linear Thermoseal Pyrolytic oven,Linear,Thermoseal technology,SmartSense Plus - 50 auto menus + 10 personal programs,Pyrolytic Cleaning,Ever Clean Enamel,Soft Close Door,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel Black Stopsol® reflective glass,"17 functions incl. Sabbath mode, defrost, proving and keep warm",50 SmartSense auto menus + 10 personal programs,TFT,79L,5,30 - 280ºC,Built-in,Fully programmable,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x 40mm enamelled baking tray,1 x Total telescopic guides","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Cool Door technology,thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3000W, 15A Connection",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Fan Forced Grill,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFPA6125,LinearOven,Active,8017709207861,60cm Linear Thermoseal Pyrolytic oven,Linear,Thermoseal technology,SmartSense - 20 auto menus,Pyrolytic Cleaning,Ever Clean Enamel,Soft Close Door,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"16 functions incl.  Sabbath mode, defrost, proving and keep warm",20 SmartSense auto menus,Large LCD,79L,5,50 - 280ºC,Built-in,Fully programmable,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x 40mm enamelled baking tray,1 x Total telescopic guides","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Cool Door technology, thermal protection
system, child safety lock, controls lock","220–240V, 50/60Hz, 3000W, 15A Connection",Two years parts and labour,,"Base Heat,Bakers Function,Fan Assisted,Convection,Fan Forced,Supercook,Eco,Fan Grill,Grill,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"
SFPA6109,LinearOven,Active,8017709226916,60cm Linear Thermoseal Pyrolytic oven,Linear,Thermoseal technology,Easy read display,Pyrolytic Cleaning,Ever Clean Enamel,,597mmW x 592mmH x 571mmD,Fingerprint proof stainless steel Stopsol® reflective glass,"13 incl. Sabbath mode, defrost, proving and keep warm",,Compact LCD,79L,5,30 - 280ºC,Built-in,Fully programmable,Pyrolytic / ECO Pyrolytic,2 x 40W halogen,"1 x Chrome grill insert,2 x Chrome shelves,1 x 20mm enamelled baking tray,1 x 40mm enamelled baking tray,1 x Partial telescopic guides","PRTX - Pizza Stone,PPR2 - Gourmet Cooking Stone,PALPZ - Single-handle pizza paddle,38508/510 - Baking Dish,GT1P-2 - Partial telescopic guides,GT1T-2 - Total telescopic guides","Cool Door technology, thermal protection system, child safety lock, controls lock","220–240V, 50/60Hz, 3000W, 15A Connection",Two years parts and labour,,"Convection,Fan Forced,Supercook,Fan Grill,Grill,Eco,Pyrolytic,Eco Pyrolytic,Defrost By Time,Defrost By Weight,Proving,Sabbath Mode,Keep Warm"